Gene,X5EGGE,X5EQMM,X5GICA,X5N9D6,X5P9GB,X5N9ES,X5P9GS,X5N9E1
CTC-320C6.1,0,0,0,0,0,0,0,0
LSM1P2,0,0,0,0,0,0,0,0
CTC-207P7.1,0,0,0,0,0,0,0,0
CTB-32P11.1,0,0,0,0,0,0,0,0
CTC-340A15.2,0,0,0,0,0,0,67,18
LINC02143,0,0,1,0,0,0,0,0
RNU6-209P,0,0,0,0,0,0,0,0
LINC01938,0,0,0,0,0,0,0,0
CTC-535M15.2,0,0,0,0,0,0,20,0
RN7SKP60,0,0,0,0,0,0,0,0
CTC-535M15.1,0,0,0,2,0,0,0,0
CTC-425K20.1,0,0,0,0,0,0,0,0
RPL7P20,0,0,0,0,0,1,0,3
RP11-67M9.1,0,0,0,0,0,0,0,0
CTB-63M22.1,71,19,27,33,91,1161,113,219
LINC01947,0,0,0,0,0,0,0,0
CTC-264O10.2,0,0,0,0,0,0,0,0
CTC-264O10.1,0,0,0,0,0,0,0,0
TENM2,1,962,205,11,22,23,284,25
CTB-180C19.1,0,0,0,0,0,0,0,0
CTC-286N12.1,0,0,0,0,0,0,0,0
CTB-105L4.2,0,0,0,0,0,0,0,0
CTB-78F1.1,0,1,2,0,0,0,0,0
CTB-78F1.2,2,31,3,0,0,0,7,1
CTC-353G13.1,0,0,0,1,0,0,13,0
CTB-77H17.1,0,1,0,0,0,0,0,0
CTB-178M22.1,0,2,0,1,0,0,0,0
CTB-105N12.2,0,10,0,0,0,0,0,0
CTB-178M22.2,0,4,12,1,17,3,2,2
WWC1,2642,2169,3578,3138,4650,2138,472,49
RARS,1291,2042,2470,1264,4878,3146,3113,2532
FBLL1,12,30,3,10,4,77,106,49
PANK3,1620,10495,2763,3263,2775,1822,6393,4197
MIR103A1,0,0,0,0,0,0,0,0
RPL10P9,70,795,613,43,163,3051,202,505
CTC-558O2.2,0,0,3,4,0,0,4,4
SLIT3,28,180,7799,8310,991,363,6659,3775
CTC-558O2.1,2,272,1,12,3,0,23,1
MIR218-2,0,0,0,0,0,0,0,0
CTB-174D11.2,0,0,1,0,0,0,0,0
CTB-174D11.3,0,0,0,0,0,0,0,0
CTB-174D11.1,2,1,0,3,0,0,0,2
MIR585,0,0,0,0,0,0,0,0
RNU6-477P,0,0,0,0,0,0,0,0
SPDL1,186,168,460,121,353,204,1340,767
DOCK2,95,307,4217,5652,551,82,621,49
CTB-37A13.1,0,3,1,3,0,0,0,0
FAM196B,2,1,1,54,0,0,30,82
MIR378E,0,0,0,0,0,0,0,0
FOXI1,0,2,2,0,0,0,0,0
KRT18P41,1,0,0,0,0,0,0,0
LINC01187,0,2,29,4,0,2,0,0
C5orf58,10,13,56,328,9,4,13,8
LCP2,211,429,4051,5429,534,156,484,110
CTB-114C7.4,0,0,7,16,0,0,3,0
LINC01366,0,0,9,0,0,0,11,18
KCNIP1,0,6,109,29,18,10,27,6
KCNMB1,8,47,1178,442,58,64,445,267
CTD-2270F17.1,0,0,0,1,0,2,6,8
CTB-147C13.1,0,0,3,1,0,0,7,2
CTC-265N9.1,0,0,0,0,2,1,1,1
CTC-455F18.1,0,1,5,1,0,0,5,0
GABRP,17,105,13,47,4,9,13,13
RANBP17,224,128,568,101,1606,175,387,372
RN7SL623P,0,0,0,0,0,0,0,0
CTC-455F18.3,2,0,0,4,0,0,9,7
RP11-546B8.3,0,1,2,3,4,0,5,4
RP11-546B8.6,0,0,0,0,1,0,0,0
TLX3,2,0,1,0,0,0,2,1
RP11-546B8.1,0,0,0,0,0,0,0,0
RN7SL339P,0,0,0,0,0,0,0,0
RPSAP71,0,0,0,0,0,0,0,0
RPL10P8,1,1,0,1,2,4,3,17
MIR3912,0,0,0,0,0,0,0,0
NPM1,12830,5686,14585,13501,49985,23964,104468,111167
FGF18,2,4,174,186,32,23,19,9
CTB-78H18.1,0,0,0,0,0,0,0,0
SMIM23,1,0,1,3,2,2,3,0
FBXW11,1002,2680,3010,3565,3616,2685,6481,4338
STK10,439,665,6453,7061,1412,640,1744,602
EFCAB9,0,1,0,0,0,0,1,0
UBTD2,284,1265,1309,908,1046,750,3725,2468
KLF3P1,0,2,0,2,0,0,0,13
SH3PXD2B,249,469,4725,6205,5027,4150,14388,8836
LINC01944,0,0,0,0,0,0,6,1
CTB-79E8.4,0,0,0,0,0,0,0,0
NEURL1B,294,751,2326,4972,1356,736,7959,3953
CTB-79E8.3,17,9,27,9,20,20,27,47
MIR5003,0,0,0,0,0,0,0,1
CTB-79E8.2,0,0,0,0,0,0,0,0
RP11-779O18.1,1,3,4,1,0,0,0,0
RP11-779O18.2,0,3,5,3,6,1,0,0
DUSP1,6705,100105,45294,111343,14424,5875,34976,85242
RP11-779O18.3,0,3,3,2,0,0,0,3
RP11-779O18.4,0,0,2,0,0,0,0,0
RP11-536N17.1,2,0,0,0,0,0,0,2
ERGIC1,8982,16844,14639,9977,11389,6436,16880,9850
CTC-308K20.1,5,7,46,22,13,16,106,72
CTC-308K20.2,0,0,0,0,0,1,0,0
RPL26L1,523,456,592,298,547,317,1048,762
CTC-308K20.3,11,2,5,14,11,9,2,10
ATP6V0E1,2322,4252,12218,6662,6783,6546,9091,8813
CTC-308K20.4,0,1,3,4,0,2,3,1
SNORA74B,0,2,0,1,0,0,5,0
CREBRF,1183,3151,3547,3868,2059,1331,7074,4803
CDC42P5,1,2,0,2,5,1,7,3
CTC-209H22.3,0,0,0,0,0,0,0,0
BNIP1,240,365,401,320,781,929,559,576
RPL7AP33,0,0,0,0,0,0,3,0
NKX2-5,3,0,8,2,0,0,0,4
RNA5SP200,0,0,0,0,0,0,0,0
STC2,25,27,950,1412,3968,2177,250,16
MIR8056,0,0,0,0,0,0,0,0
RNU6-500P,0,0,0,0,0,0,0,0
CTB-32H22.1,0,0,2,0,0,0,0,0
CTB-164N12.1,0,0,0,0,0,0,0,0
CTB-33O18.1,0,0,0,0,0,0,0,0
CTB-33O18.2,0,7,1,1,1,3,2,13
CTB-33O18.3,5,16,26,23,28,53,43,68
BOD1,642,1508,1963,1726,3951,3058,6384,5231
LINC01863,2,36,19,9,0,2,0,0
LINC01942,6,17,6,11,64,124,0,0
LINC01484,14,36,13,8,52,112,2,0
LINC01485,463,5307,17,2,0,19,0,0
CPEB4,1292,4768,3639,3625,5280,1960,2863,1617
